batch,worker_type,num_candidates,num_improvements,yield_rate
1,explorer,3,1,0.3333
1,exploiter,2,1,0.5000
2,exploiter,1,0,0.0000
2,explorer,4,1,0.2500
3,exploiter,3,1,0.3333
3,explorer,2,0,0.0000
4,explorer,3,2,0.6667
4,exploiter,2,1,0.5000
5,explorer,2,2,1.0000
5,exploiter,3,3,1.0000
6,exploiter,2,0,0.0000
6,explorer,3,1,0.3333
7,explorer,2,1,0.5000
7,exploiter,2,0,0.0000
7,crossover,1,1,1.0000
8,crossover,1,0,0.0000
8,explorer,2,2,1.0000
8,exploiter,2,1,0.5000
9,explorer,2,0,0.0000
9,exploiter,2,1,0.5000
9,crossover,1,1,1.0000
10,exploiter,3,0,0.0000
10,explorer,1,1,1.0000
10,crossover,1,1,1.0000
