batch,worker_type,num_candidates,num_improvements,yield_rate
1,explorer,3,0,0.0000
1,exploiter,2,1,0.5000
2,exploiter,3,3,1.0000
2,explorer,2,2,1.0000
3,exploiter,2,2,1.0000
3,explorer,3,1,0.3333
4,explorer,4,1,0.2500
4,exploiter,1,1,1.0000
5,exploiter,3,2,0.6667
5,explorer,2,2,1.0000
6,exploiter,1,1,1.0000
6,explorer,4,3,0.7500
7,exploiter,3,3,1.0000
7,explorer,1,0,0.0000
7,crossover,1,1,1.0000
8,explorer,2,1,0.5000
8,crossover,1,1,1.0000
8,exploiter,2,1,0.5000
9,exploiter,3,2,0.6667
9,crossover,1,0,0.0000
9,explorer,1,0,0.0000
10,explorer,2,2,1.0000
10,exploiter,2,1,0.5000
10,crossover,1,0,0.0000
