batch,model,tokens_in,tokens_out,wall_clock_seconds
1,anthropic/claude-sonnet-4.6,15864,20272,266.83
2,default,6126,10477,160.03
2,anthropic/claude-sonnet-4.6,15739,13153,211.11
3,default,4579,1931,134.18
3,anthropic/claude-sonnet-4.6,30728,9086,314.24
4,anthropic/claude-sonnet-4.6,41343,8413,215.14
4,default,13647,2552,63.01
5,default,10166,1500,266.81
5,anthropic/claude-sonnet-4.6,62751,8515,250.40
6,anthropic/claude-sonnet-4.6,53150,5150,127.85
6,default,16401,5561,63.66
7,anthropic/claude-sonnet-4.6,97342,13712,200.78
8,anthropic/claude-sonnet-4.6,88978,14470,272.62
9,anthropic/claude-sonnet-4.6,61989,8354,98.00
9,default,42565,4358,51.93
10,anthropic/claude-sonnet-4.6,103492,13806,266.63
11,anthropic/claude-sonnet-4.6,90938,13822,434.94
12,anthropic/claude-sonnet-4.6,99608,11995,449.33
13,anthropic/claude-sonnet-4.6,99934,16049,369.95
14,anthropic/claude-sonnet-4.6,89912,12433,233.26
14,default,19495,2129,38.55
15,anthropic/claude-sonnet-4.6,104761,14369,345.62
16,anthropic/claude-sonnet-4.6,114668,20239,350.59
17,anthropic/claude-sonnet-4.6,111448,14654,237.41
18,anthropic/claude-sonnet-4.6,88240,12298,235.56
18,default,21579,1801,30.89
19,anthropic/claude-sonnet-4.6,125168,17303,307.18
20,anthropic/claude-sonnet-4.6,120557,12406,224.72
