batch,best_score,mean_score,worst_score,num_improvements,timestamp
1,0.925540,0.564277,0.000000,4,1776229175.88
2,0.925540,0.441780,0.000000,2,1776229289.92
3,0.997297,0.619584,0.000000,3,1776229401.80
4,0.997297,0.790710,0.577750,2,1776229499.46
5,1.000340,0.717304,0.333333,3,1776229555.94
6,1.000340,0.844336,0.575748,4,1776229603.97
7,1.000340,0.925706,0.679245,4,1776229684.44
8,1.000340,0.909537,0.668239,4,1776229734.16
9,1.000340,0.933754,0.667408,5,1776229790.28
10,1.000340,0.765556,0.000000,4,1776229900.84
11,1.000340,0.857743,0.333333,4,1776229998.40
12,1.000340,0.857933,0.333333,3,1776230090.45
13,1.000340,0.858343,0.333333,3,1776230163.29
14,1.000340,0.923713,0.744420,3,1776230232.06
15,1.000340,0.991357,0.955424,4,1776230300.47
16,1.000340,0.866939,0.333333,3,1776230397.83
17,1.000340,0.999886,0.998070,3,1776230461.21
18,1.000340,0.998347,0.992315,2,1776230546.46
19,1.000373,0.865702,0.333333,1,1776230595.16
20,1.000373,1.000347,1.000340,5,1776230655.61
