batch,worker_type,num_candidates,num_improvements,yield_rate
1,explorer,2,1,0.5000
1,exploiter,3,3,1.0000
2,explorer,3,2,0.6667
2,exploiter,2,0,0.0000
3,explorer,4,3,0.7500
3,exploiter,1,0,0.0000
4,exploiter,3,1,0.3333
4,explorer,2,1,0.5000
5,explorer,4,2,0.5000
5,exploiter,1,1,1.0000
6,explorer,2,2,1.0000
6,exploiter,3,2,0.6667
7,explorer,1,1,1.0000
7,exploiter,2,1,0.5000
7,crossover,2,2,1.0000
8,exploiter,2,2,1.0000
8,explorer,3,2,0.6667
9,exploiter,1,1,1.0000
9,crossover,3,3,1.0000
9,explorer,1,1,1.0000
10,explorer,4,4,1.0000
10,exploiter,1,0,0.0000
11,exploiter,2,2,1.0000
11,explorer,2,1,0.5000
11,crossover,1,1,1.0000
12,explorer,2,1,0.5000
12,exploiter,3,2,0.6667
13,explorer,2,1,0.5000
13,exploiter,2,1,0.5000
13,crossover,1,1,1.0000
14,crossover,2,2,1.0000
14,exploiter,3,1,0.3333
15,explorer,2,2,1.0000
15,exploiter,2,1,0.5000
15,crossover,1,1,1.0000
16,crossover,1,0,0.0000
16,exploiter,3,2,0.6667
16,explorer,1,1,1.0000
17,explorer,2,1,0.5000
17,exploiter,1,1,1.0000
17,crossover,2,1,0.5000
18,explorer,4,2,0.5000
18,crossover,1,0,0.0000
19,explorer,2,0,0.0000
19,exploiter,1,0,0.0000
19,crossover,2,1,0.5000
20,crossover,2,2,1.0000
20,exploiter,1,1,1.0000
20,explorer,2,2,1.0000
